Year,Year_Rank,Song,Artist,Genre,Peak,danceability,energy,valence,tempo,duration_min,loudness,acousticness
1960,36,What In The World's Come Over You,Jack Scott,Rock,5,0.506,0.176,0.492,76.3,2.89,-14,0.802
1960,38,Burning Bridges,Jack Scott,Rock,3,0.465,0.276,0.233,82.6,2.7,-13.2,0.809
1960,39,I Want To Be Wanted,Brenda Lee,Pop,1,0.546,0.296,0.263,105.6,3.21,-14,0.753
1960,40,Paper Roses,Anita Bryant,Pop,5,0.301,0.325,0.298,116.6,2.87,-8.8,0.669
1960,41,Mack The Knife,Ella Fitzgerald,Pop,12,0.549,0.529,0.464,82.8,3.07,-12.3,0.76
1960,42,Let The Little Girl Dance,Billy Bland,Pop,7,0.591,0.537,0.96,141.6,2.37,-8.6,0.419
1960,44,North To Alaska,Johnny Horton,Country,4,0.644,0.371,0.916,82.9,2.83,-14.4,0.718
1960,45,Volare,Bobby Rydell,Rock,4,0.516,0.804,0.639,119.4,2.88,-9.2,0.036
1960,46,Good Timin',Jimmy Jones,R&B/Soul,3,0.568,0.459,0.967,147.4,2.16,-10.1,0.596
1960,48,Cradle Of Love,Johnny Preston,R&B/Soul,7,0.477,0.506,0.868,174.5,2.34,-11.7,0.683
1960,49,Baby (You've Got What It Takes),Dinah Washington & Brook Benton,R&B/Soul,5,0.67,0.596,0.813,133.4,2.76,-9.3,0.852
1960,50,Puppy Love,Paul Anka,Rock,2,0.658,0.336,0.923,74.3,2.41,-17.9,0.807
1960,51,Harbor Lights,The Platters,Rock,8,0.26,0.29,0.303,78.8,3.25,-13.4,0.913
1960,52,"Let's Go, Let's Go, Let's Go",Hank Ballard And The Midnighters,R&B/Soul,6,0.466,0.762,0.702,128,2.48,-12.1,0.136
1960,53,Stay,Maurice Williams & The Zodiacs,Pop,1,0.582,0.693,0.341,125.9,3.41,-5,0.114
1960,54,Where Or When,Dion & The Belmonts,Pop,3,0.449,0.395,0.393,110.5,2.67,-6.4,0.722
1960,55,Poetry In Motion,Johnny Tillotson,Rock,2,0.477,0.703,0.875,135.3,2.57,-7.3,0.433
1960,56,Walking To New Orleans,Fats Domino,R&B/Soul,6,0.606,0.344,0.517,80.8,2.02,-9.9,0.782
1960,57,A Million To One,Jimmy Charles and The Revelletts,Rock,5,0.373,0.229,0.399,145,2.69,-16.8,0.78
1960,58,Let It Be Me,The Everly Brothers,Rock,7,0.281,0.423,0.389,78.6,3.64,-15.5,0.561
1960,59,White Silver Sands,Bill Black's Combo,Pop,9,0.895,0.608,0.96,117.7,2.57,-7.2,0.558
1960,60,The Old Lamplighter,The Browns Featuring Jim Edward Brown,Pop,5,0.604,0.105,0.553,92.2,2.35,-16.8,0.977
1960,61,Beyond The Sea,Bobby Darin,R&B/Soul,6,0.521,0.516,0.569,136.5,2.87,-7.5,0.723
1960,62,Dreamin',Johnny Burnette,Rock,11,0.507,0.454,0.746,75.2,2.36,-9.8,0.796
1960,63,El Paso,Marty Robbins,Pop,1,0.654,0.452,0.691,106.7,4.32,-9.7,0.835
1960,64,Mr. Custer,Larry Verne,Pop,1,0.697,0.697,0.582,108.5,3.08,-4.9,0.707
1960,65,Lonely Weekends,Charlie Rich,Country,22,0.46,0.824,0.796,184.5,2.17,-8.9,0.317
1960,66,Forever,The Little Dippers,Country,9,0.37,0.138,0.322,198.5,2.63,-17.9,0.871
1960,67,Sleep,Little Willie John,R&B/Soul,13,0.29,0.493,0.81,94.4,2.87,-11.6,0.104
1960,68,Tell Laura I Love Her,Ray Peterson,Rock,7,0.528,0.394,0.297,102.9,2.91,-11.2,0.751
1960,69,Georgia On My Mind,Ray Charles,R&B/Soul,1,0.321,0.435,0.174,158.5,4.97,-10.9,0.256
1960,70,So Sad (To Watch Good Love Go Bad),The Everly Brothers,Rock,7,0.477,0.196,0.405,102.4,2.61,-15.7,0.655
1960,71,Wonderful World,Sam Cooke,R&B/Soul,12,0.71,0.722,0.964,141.9,2.03,-7.7,0.21
1960,72,That's All You Gotta Do,Brenda Lee,Pop,6,0.405,0.57,0.956,195.9,2.48,-7.9,0.43
1960,73,Doggin' Around,Jackie Wilson,R&B/Soul,15,0.541,0.366,0.425,94.8,2.88,-9.2,0.938
1960,74,Money (That's what I want),Barrett Strong,R&B/Soul,23,0.665,0.806,0.953,132.3,2.63,-8,0.346
1960,75,Alone At Last,Jackie Wilson,R&B/Soul,8,0.288,0.392,0.37,92,3.08,-6.1,0.951
